DataStatus,UniqueID,DWR_REVISE,SYMB_CLASS,MULTIUSE,CLASS1,SUBCLASS1,SPECOND1,IRR_TYP1PA,IRR_TYP1PB,PCNT1,CLASS2,SUBCLASS2,SPECOND2,IRR_TYP2PA,IRR_TYP2PB,PCNT2,CLASS3,SUBCLASS3,SPECOND3,IRR_TYP3PA,IRR_TYP3PB,PCNT3,CLASS4,SUBCLASS4,SPECOND4,IRR_TYP4PA,IRR_TYP4PB,PCNT4,UCF_ATT,YR_PLANTED,SEN_CROP,ADOY_SEN,CROPTYP1,CTYP1_NOTE,ADOY1,CROPTYP2,CTYP2_NOTE,ADOY2,CROPTYP3,CTYP3_NOTE,ADOY3,CROPTYP4,CTYP4_NOTE,ADOY4,EMRG_CROP,ADOY_EMRG,REGION,ACRES,COUNTY,HYDRO_RGN,LIQ_REPORT,MAIN_CROP,MAIN_CROP_DATE,Shape_Length,Shape_Area
Final,3200104,,X,S,**,**,*,*,*,**, X,**,*,*,*,0,**,**,*,*,*,**,**,**,*,*,*,**,S********* X*****00******************,,****,,****,****,,X,****,,****,****,,****,****,,****,,NRO,128.5863494,Plumas,Sacramento River,X    **** **** ****,X,,0.026629496,5.47431E-05
Final,3200103,,I,S,**,**,*,*,*,**, I,1,*,*,*,0,**,**,*,*,*,**,**,**,*,*,*,**,S********* I 1***00******************,,****,,****,****,,I1,****,,****,****,,****,****,,****,,NRO,20.34558128,Plumas,Sacramento River,I1   **** **** ****,I1,,0.013783466,8.69786E-06
Final,3200101,,P,S,**,**,*,*,*,**, P,4,*,*,*,0,**,**,*,*,*,**,**,**,*,*,*,**,S********* P 4***00******************,,****,,****,****,,P4,****,,****,****,,****,****,,****,,NRO,35.76334962,Plumas,Sacramento River,P4   **** **** ****,P4,,0.018809739,1.52881E-05
Final,3200099,r,P,S,**,**,*,*,*,**, P,4,*,*,*,0,**,**,*,*,*,**,**,**,*,*,*,**,S********* P 4***00******************,,****,,****,****,,P4,****,,****,****,,****,****,,****,,NRO,16.54310404,Plumas,Sacramento River,P3   **** **** ****,P4,,0.010618599,7.07072E-06
Final,3200098,,T,S,**,**,*,*,*,**, T,16,*,*,*,0,**,**,*,*,*,**,**,**,*,*,*,**,S********* T16***00******************,,****,,****,****,,T16,****,,****,****,,****,****,,****,,NRO,19.80506201,Plumas,Sacramento River,T16  **** **** ****,T16,,0.011585175,8.42617E-06
Final,3200097,r,P,S,**,**,*,*,*,**, P,4,*,*,*,0,**,**,*,*,*,**,**,**,*,*,*,**,S********* P 4***00******************,,****,,****,****,,P4,****,,****,****,,****,****,,****,,NRO,38.19585065,Plumas,Sacramento River,P6   **** **** ****,P4,,0.01668356,1.63225E-05
Final,3200096,,I,S,**,**,*,*,*,**, I,1,*,*,*,0,**,**,*,*,*,**,**,**,*,*,*,**,S********* I 1***00******************,,****,,****,****,,I1,****,,****,****,,****,****,,****,,NRO,82.95491592,Plumas,Sacramento River,I1   **** **** ****,I1,,0.023986094,3.54816E-05
Final,3200095,,P,S,**,**,*,*,*,**, P,4,*,*,*,0,**,**,*,*,*,**,**,**,*,*,*,**,S********* P 4***00******************,,****,,****,****,,P4,****,,****,****,,****,****,,****,,NRO,36.65672978,Plumas,Sacramento River,P4   **** **** ****,P4,,0.019806412,1.56775E-05
Final,3200094,r,P,S,**,**,*,*,*,**, P,4,*,*,*,0,**,**,*,*,*,**,**,**,*,*,*,**,S********* P 4***00******************,,****,,****,****,,P4,****,,****,****,,****,****,,****,,NRO,59.13972497,Plumas,Sacramento River,P3   **** **** ****,P4,,0.030246075,2.52883E-05
Final,3200093,,I,S,**,**,*,*,*,**, I,1,*,*,*,0,**,**,*,*,*,**,**,**,*,*,*,**,S********* I 1***00******************,,****,,****,****,,I1,****,,****,****,,****,****,,****,,NRO,42.1348189,Plumas,Sacramento River,I1   **** **** ****,I1,,0.031864436,1.79305E-05
