Year,Current Item Name,Current Item Code,Legacy Item Name,Legacy Commodity Code,County,County Code,Harvested Acres,Yield,Production,Price Per Unit,Value,Unit,Row Type Id,Commodities In Group,Footnote
2022,"Alfalfa, All",,,,Alameda,1,95,,,,125000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Amador,5,855,,,,1881000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Butte,7,520,,,,637000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Colusa,11,7440,,,,13987000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Contra Costa,13,1730,,,,1549000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Fresno,19,24500,,,,58830000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Glenn,21,8930,,,,19772000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Imperial,25,148000,,,,269735000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Inyo,27,,,,,3629000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Kings,31,20800,,,,67540000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Lassen,35,23100,,,,36374000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Madera,39,7900,,,,26845000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Merced,47,41100,,,,117533000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Modoc,49,36400,,,,85176000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Mono,51,,,,,20793000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Monterey,53,694,,,,434000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Plumas,63,5480,,,,6478000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Riverside,65,42500,,,,108448000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Sacramento,67,12600,,,,22486000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,San Bernardino,71,2920,,,,6347000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,San Joaquin,77,40200,,,,105052000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,San Luis Obispo,79,1030,,,,2842000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Shasta,89,2700,,,,5166000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Sierra,91,3220,,,,3807000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Siskiyou,93,35000,,,,45712000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Solano,95,16200,,,,30946000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Sutter,101,3880,,,,7075000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Tehama,103,1130,,,,1552000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Tulare,107,28900,,,,128289000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Yolo,113,20200,,,,39324000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Yuba,115,147,,,,182000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,Sum of Others,998,71600,,,,191095000,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, All",,,,State Total,999,609771,,,,1429641000,,state total row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Alameda,1,95,6.00,570,219.30,125000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Amador,5,855,5.50,4700,400.21,1881000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Butte,7,520,3.50,1820,350.00,637000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Colusa,11,7440,5.44,40500,345.36,13987000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Contra Costa,13,1730,4.39,7600,203.82,1549000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Fresno,19,24500,9.06,222000,265.00,58830000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Glenn,21,8930,6.71,59900,330.08,19772000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Imperial,25,148000,5.61,830000,324.98,269735000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Inyo,27,,,9760,371.82,3629000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Kern,29,48700,7.86,383000,369.92,141680000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Kings,31,20800,8.75,182000,371.10,67540000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Lassen,35,23100,4.76,110000,330.67,36374000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Madera,39,7900,8.73,69000,369.25,25478000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Merced,47,41100,7.37,303000,347.15,105188000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Modoc,49,36400,6.51,237000,359.39,85176000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Mono,51,,,58900,353.02,20793000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Monterey,53,694,3.13,2170,200.00,434000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Plumas,63,5480,3.69,20200,320.69,6478000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Riverside,65,38400,8.00,307000,318.21,97690000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Sacramento,67,12600,5.21,65600,342.77,22486000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,San Bernardino,71,2920,6.47,18900,335.82,6347000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,San Joaquin,77,40200,7.02,282000,372.52,105052000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,San Luis Obispo,79,1030,5.65,5820,488.32,2842000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Shasta,89,2700,5.30,14300,361.26,5166000,Tons,data table row,,
2022,"Alfalfa, Hay",4001001,"Hay, Alfalfa",181999,Sierra,91,3220,3.70,11900,319.92,3807000,Tons,data table row,,
