year,ava_id,annual_eto_in,annual_precip_in,ava_name,water_deficit_in
2014,adelaida_district,53.15,0.0,Adelaida District,53.15
2016,adelaida_district,51.25,0.0,Adelaida District,51.25
2018,adelaida_district,52.730000000000004,0.0,Adelaida District,52.730000000000004
2019,adelaida_district,51.03,0.0,Adelaida District,51.03
2020,adelaida_district,51.410000000000004,0.0,Adelaida District,51.410000000000004
2021,adelaida_district,48.03,0.0,Adelaida District,48.03
2022,adelaida_district,55.660000000000004,0.0,Adelaida District,55.660000000000004
2023,adelaida_district,48.61,0.0,Adelaida District,48.61
2024,adelaida_district,51.25,0.0,Adelaida District,51.25
2014,alexander_valley,34.700531197916256,0.0,Alexander Valley,34.700531197916256
2016,alexander_valley,41.837366852910854,0.0,Alexander Valley,41.837366852910854
2018,alexander_valley,42.89696299981021,0.0,Alexander Valley,42.89696299981021
2019,alexander_valley,32.15327152172913,0.0,Alexander Valley,32.15327152172913
2020,alexander_valley,45.52281762645395,0.0,Alexander Valley,45.52281762645395
2021,alexander_valley,41.46620474646907,0.0,Alexander Valley,41.46620474646907
2022,alexander_valley,45.9250034001932,0.0,Alexander Valley,45.9250034001932
2023,alexander_valley,41.66043321120428,0.0,Alexander Valley,41.66043321120428
2024,alexander_valley,44.565204874205044,0.0,Alexander Valley,44.565204874205044
2014,alisos_canyon,49.78,0.0,Alisos Canyon,49.78
2016,alisos_canyon,47.2,0.0,Alisos Canyon,47.2
2018,alisos_canyon,47.65,0.0,Alisos Canyon,47.65
2019,alisos_canyon,45.82,0.0,Alisos Canyon,45.82
2020,alisos_canyon,47.2,0.0,Alisos Canyon,47.2
2021,alisos_canyon,42.11,0.0,Alisos Canyon,42.11
2022,alisos_canyon,48.17,0.0,Alisos Canyon,48.17
2023,alisos_canyon,41.85,0.0,Alisos Canyon,41.85
2024,alisos_canyon,43.61,0.0,Alisos Canyon,43.61
2014,alta_mesa,57.84692756260372,0.0,Alta Mesa,57.84692756260372
2016,alta_mesa,43.26513447652612,0.0,Alta Mesa,43.26513447652612
2019,alta_mesa,25.630399352565558,0.0,Alta Mesa,25.630399352565558
2020,alta_mesa,14.520091734265938,0.0,Alta Mesa,14.520091734265938
2021,alta_mesa,25.721326319974317,0.0,Alta Mesa,25.721326319974317
2023,alta_mesa,13.434304544471628,0.0,Alta Mesa,13.434304544471628
2024,alta_mesa,14.261591651337916,0.0,Alta Mesa,14.261591651337916
2014,anderson_valley,46.81279470263292,0.0,Anderson Valley,46.81279470263292
2016,anderson_valley,26.85828658043138,0.0,Anderson Valley,26.85828658043138
2018,anderson_valley,42.96578513239969,0.0,Anderson Valley,42.96578513239969
2019,anderson_valley,45.50931319881685,0.0,Anderson Valley,45.50931319881685
2020,anderson_valley,44.98589224757705,0.0,Anderson Valley,44.98589224757705
2021,anderson_valley,42.61051720510139,0.0,Anderson Valley,42.61051720510139
2022,anderson_valley,44.14036331475409,0.0,Anderson Valley,44.14036331475409
2023,anderson_valley,41.61112366531851,0.0,Anderson Valley,41.61112366531851
2024,anderson_valley,43.81779318656221,0.0,Anderson Valley,43.81779318656221
2014,antelope_valley_of_the_california_high_desert,67.87406866212412,0.0,Antelope Valley of the California High Desert,67.87406866212412
2016,antelope_valley_of_the_california_high_desert,66.76108436370698,0.0,Antelope Valley of the California High Desert,66.76108436370698
2018,antelope_valley_of_the_california_high_desert,17.024339203065022,0.0,Antelope Valley of the California High Desert,17.024339203065022
2019,antelope_valley_of_the_california_high_desert,44.65343920440986,0.0,Antelope Valley of the California High Desert,44.65343920440986
2020,antelope_valley_of_the_california_high_desert,17.985475580175965,0.0,Antelope Valley of the California High Desert,17.985475580175965
2021,antelope_valley_of_the_california_high_desert,37.06793575486221,0.0,Antelope Valley of the California High Desert,37.06793575486221
2022,antelope_valley_of_the_california_high_desert,52.24080420600873,0.0,Antelope Valley of the California High Desert,52.24080420600873
2023,antelope_valley_of_the_california_high_desert,62.457298716265576,0.0,Antelope Valley of the California High Desert,62.457298716265576
2024,antelope_valley_of_the_california_high_desert,7.048746062497076,0.0,Antelope Valley of the California High Desert,7.048746062497076
2014,arroyo_grande_valley,51.56484587684234,0.0,Arroyo Grande Valley,51.56484587684234
2016,arroyo_grande_valley,2.2922786877826513,0.0,Arroyo Grande Valley,2.2922786877826513
2018,arroyo_grande_valley,50.048984382215146,0.0,Arroyo Grande Valley,50.048984382215146
2019,arroyo_grande_valley,47.45382795251546,0.0,Arroyo Grande Valley,47.45382795251546
2020,arroyo_grande_valley,48.82317396385597,0.0,Arroyo Grande Valley,48.82317396385597
2021,arroyo_grande_valley,44.53107908335453,0.0,Arroyo Grande Valley,44.53107908335453
2022,arroyo_grande_valley,50.89658119431457,0.0,Arroyo Grande Valley,50.89658119431457
2023,arroyo_grande_valley,44.12666541358634,0.0,Arroyo Grande Valley,44.12666541358634
2024,arroyo_grande_valley,46.263625502236195,0.0,Arroyo Grande Valley,46.263625502236195
2014,arroyo_seco,25.00534822081498,0.0,Arroyo Seco,25.00534822081498
2016,arroyo_seco,44.75764351714712,0.0,Arroyo Seco,44.75764351714712
2018,arroyo_seco,46.37307025445363,0.0,Arroyo Seco,46.37307025445363
2019,arroyo_seco,45.278687662682614,0.0,Arroyo Seco,45.278687662682614
2020,arroyo_seco,45.519423433527066,0.0,Arroyo Seco,45.519423433527066
2021,arroyo_seco,41.74209280018774,0.0,Arroyo Seco,41.74209280018774
2023,arroyo_seco,44.540514515737165,0.0,Arroyo Seco,44.540514515737165
2024,arroyo_seco,46.92874015898592,0.0,Arroyo Seco,46.92874015898592
2014,atlas_peak,49.56,0.0,Atlas Peak,49.56
2016,atlas_peak,46.5,0.0,Atlas Peak,46.5
2018,atlas_peak,47.55,0.0,Atlas Peak,47.55
2019,atlas_peak,47.42,0.0,Atlas Peak,47.42
2020,atlas_peak,50.29,0.0,Atlas Peak,50.29
2021,atlas_peak,45.160000000000004,0.0,Atlas Peak,45.160000000000004
2022,atlas_peak,52.11,0.0,Atlas Peak,52.11
2023,atlas_peak,46.300000000000004,0.0,Atlas Peak,46.300000000000004
2024,atlas_peak,49.36,0.0,Atlas Peak,49.36
2014,ballard_canyon,48.27074901636283,0.0,Ballard Canyon,48.27074901636283
2016,ballard_canyon,46.93257190615167,0.0,Ballard Canyon,46.93257190615167
2018,ballard_canyon,47.25138293533234,0.0,Ballard Canyon,47.25138293533234
2019,ballard_canyon,45.53512438125203,0.0,Ballard Canyon,45.53512438125203
2020,ballard_canyon,46.8006475155623,0.0,Ballard Canyon,46.8006475155623
2021,ballard_canyon,41.59850823401352,0.0,Ballard Canyon,41.59850823401352
2022,ballard_canyon,47.77060876046879,0.0,Ballard Canyon,47.77060876046879
2023,ballard_canyon,41.54936660550071,0.0,Ballard Canyon,41.54936660550071
2014,ben_lomond_mountain,37.14,0.0,Ben Lomond Mountain,37.14
2016,ben_lomond_mountain,35.58,0.0,Ben Lomond Mountain,35.58
2018,ben_lomond_mountain,36.22,0.0,Ben Lomond Mountain,36.22
2019,ben_lomond_mountain,34.34,0.0,Ben Lomond Mountain,34.34
2020,ben_lomond_mountain,36.1452479542454,0.0,Ben Lomond Mountain,36.1452479542454
2021,ben_lomond_mountain,31.637659451266202,0.0,Ben Lomond Mountain,31.637659451266202
2022,ben_lomond_mountain,0.7167930497242891,0.0,Ben Lomond Mountain,0.7167930497242891
2023,ben_lomond_mountain,34.24453871959392,0.0,Ben Lomond Mountain,34.24453871959392
2024,ben_lomond_mountain,34.86278540881694,0.0,Ben Lomond Mountain,34.86278540881694
2014,benmore_valley,48.0,0.0,Benmore Valley,48.0
2018,benmore_valley,44.92,0.0,Benmore Valley,44.92
2019,benmore_valley,45.699999999999996,0.0,Benmore Valley,45.699999999999996
2024,benmore_valley,46.68,0.0,Benmore Valley,46.68
2014,bennett_valley,45.54,0.0,Bennett Valley,45.54
2016,bennett_valley,42.19,0.0,Bennett Valley,42.19
2018,bennett_valley,42.93,0.0,Bennett Valley,42.93
2019,bennett_valley,43.93,0.0,Bennett Valley,43.93
2020,bennett_valley,45.94,0.0,Bennett Valley,45.94
2021,bennett_valley,40.92,0.0,Bennett Valley,40.92
2022,bennett_valley,46.5,0.0,Bennett Valley,46.5
2023,bennett_valley,41.99,0.0,Bennett Valley,41.99
2024,bennett_valley,44.92,0.0,Bennett Valley,44.92
2014,big_valley_district_lake_county,47.7825049921563,0.0,Big Valley District-Lake County,47.7825049921563
2018,big_valley_district_lake_county,44.732129104719874,0.0,Big Valley District-Lake County,44.732129104719874
2019,big_valley_district_lake_county,45.44517658858455,0.0,Big Valley District-Lake County,45.44517658858455
2020,big_valley_district_lake_county,47.44965492212939,0.0,Big Valley District-Lake County,47.44965492212939
2021,big_valley_district_lake_county,17.42684780630187,0.0,Big Valley District-Lake County,17.42684780630187
2022,big_valley_district_lake_county,48.84311806778474,0.0,Big Valley District-Lake County,48.84311806778474
2023,big_valley_district_lake_county,43.708270734743486,0.0,Big Valley District-Lake County,43.708270734743486
2024,big_valley_district_lake_county,46.50023144105484,0.0,Big Valley District-Lake County,46.50023144105484
2014,borden_ranch,56.76325334270872,0.0,Borden Ranch,56.76325334270872
