zip_code,year,month,eto_in,precip_in
93215,2014,1,2.1,0
93215,2014,2,2.48,0
93215,2014,3,4.43,0
93215,2014,4,5.72,0
93215,2014,5,7.88,0
93215,2014,6,9.03,0
93215,2014,7,9.49,0
93215,2014,8,8.65,0
93215,2014,9,6.43,0
93215,2014,10,4.34,0
93215,2014,11,1.99,0
93215,2014,12,1.23,0
93270,2014,1,1.98,0
93270,2014,2,2.49,0
93270,2014,3,4.5200000000000005,0
93270,2014,4,5.8100000000000005,0
93270,2014,5,8.040000000000001,0
93270,2014,6,9.31,0
93270,2014,7,9.81,0
93270,2014,8,8.83,0
93270,2014,9,6.61,0
93270,2014,10,4.33,0
93270,2014,11,1.94,0
93270,2014,12,1.21,0
93308,2014,1,2.28,0
93308,2014,2,2.68,0
93308,2014,3,4.53,0
93308,2014,4,5.8,0
93308,2014,5,7.9,0
93308,2014,6,9.2,0
93308,2014,7,9.61,0
93308,2014,8,8.74,0
93308,2014,9,6.55,0
93308,2014,10,4.43,0
93308,2014,11,2.2,0
93308,2014,12,1.34,0
93454,2014,1,2.79,0
93454,2014,2,2.55,0
93454,2014,3,3.92,0
93454,2014,4,4.8500000000000005,0
93454,2014,5,6.41,0
93454,2014,6,6.27,0
93454,2014,7,6.64,0
93454,2014,8,6.23,0
93454,2014,9,4.98,0
93454,2014,10,4.13,0
93454,2014,11,2.49,0
93454,2014,12,1.67,0
93463,2014,1,2.86,0
93463,2014,2,2.58,0
93463,2014,3,3.81,0
93463,2014,4,4.62,0
93463,2014,5,6.08,0
93463,2014,6,5.32,0
93463,2014,7,5.82,0
93463,2014,8,5.4,0
93463,2014,9,4.41,0
93463,2014,10,3.84,0
93463,2014,11,2.65,0
93463,2014,12,1.84,0
93610,2014,1,1.7,0
93610,2014,2,2.13,0
93610,2014,3,3.94,0
93610,2014,4,5.46,0
93610,2014,5,8.02,0
93610,2014,6,8.97,0
93610,2014,7,8.98,0
93610,2014,8,7.76,0
93610,2014,9,6.01,0
93610,2014,10,4.12,0
