year,county,annual_eto_in,annual_precip_in,water_deficit_in
2014,Alameda,47.68748131542314,0.0,47.68748131542314
2016,Alameda,45.870086658148246,0.0,45.870086658148246
2018,Alameda,42.768939082109796,0.0,42.768939082109796
2021,Alameda,38.8364531778585,0.0,38.8364531778585
2024,Alameda,0.036921442436052034,0.0,0.036921442436052034
2014,Amador,50.1850900167573,0.0,50.1850900167573
2016,Amador,44.35443095069913,0.0,44.35443095069913
2018,Amador,41.70772172525008,0.0,41.70772172525008
2019,Amador,50.93502226755021,0.0,50.93502226755021
2020,Amador,39.51793330603068,0.0,39.51793330603068
2021,Amador,39.07532139281768,0.0,39.07532139281768
2022,Amador,1.1993348902936898,0.0,1.1993348902936898
2023,Amador,1.2165909396946961,0.0,1.2165909396946961
2014,Butte,54.63008155151801,0.0,54.63008155151801
2016,Butte,50.86542962019372,0.0,50.86542962019372
2018,Butte,52.03051380195761,0.0,52.03051380195761
2019,Butte,49.466416304328774,0.0,49.466416304328774
2020,Butte,10.415442221759129,0.0,10.415442221759129
2021,Butte,45.23533021077705,0.0,45.23533021077705
2022,Butte,51.31869048098315,0.0,51.31869048098315
2023,Butte,30.772121158307552,0.0,30.772121158307552
2024,Butte,41.26153087353377,0.0,41.26153087353377
2014,Calaveras,40.779665808189755,0.0,40.779665808189755
2016,Calaveras,7.539130426406521,0.0,7.539130426406521
2018,Calaveras,22.22091039367857,0.0,22.22091039367857
2019,Calaveras,16.194302848027906,0.0,16.194302848027906
2020,Calaveras,52.28658311450492,0.0,52.28658311450492
2021,Calaveras,48.72348380185241,0.0,48.72348380185241
2022,Calaveras,53.491385356416394,0.0,53.491385356416394
2023,Calaveras,48.856022761711905,0.0,48.856022761711905
2024,Calaveras,21.98404655469942,0.0,21.98404655469942
2014,Colusa,35.131361774854824,0.0,35.131361774854824
2016,Colusa,11.630765189272674,0.0,11.630765189272674
2018,Colusa,51.51809410539158,0.0,51.51809410539158
2019,Colusa,50.0761988440988,0.0,50.0761988440988
2020,Colusa,26.305988980306097,0.0,26.305988980306097
2021,Colusa,49.09416313313377,0.0,49.09416313313377
2022,Colusa,57.20028481726973,0.0,57.20028481726973
2023,Colusa,50.28359274901399,0.0,50.28359274901399
2014,Contra Costa,53.142495370327595,0.0,53.142495370327595
